nome,R,RM,club,QA,QI,Delta,FVM,missing
Fortini,D,E,Fiorentina,6.0,3,3,9,0
Frattesi,C,C;T,Inter,4.0,14,-10,10,0
Frendrup,C,M;C,Genoa,9.0,9,0,20,0
Frese,D,Ds;E,Verona,6.0,3,3,15,0
Freuler,C,M;C,Bologna,5.0,11,-6,16,0
Frigan,A,Pc,Parma,1.0,7,-6,7,0
Fruchtl,P,Por,Lecce,1.0,1,0,1,0
Fullkrug,A,Pc,Milan,14.0,13,1,30,0
Furlanetto,P,Por,Lazio,1.0,1,0,1,0
Gabbia,D,Dc,Milan,8.0,6,2,22,0
Gaetano,C,T,Cagliari,14.0,8,6,19,0
Gagliardini,C,M;C,Verona,8.0,2,6,6,0
Gallo,D,Ds;E,Lecce,8.0,5,3,13,0
Gandelman,C,C;T,Lecce,6.0,6,0,13,0
Gaspar K.,D,Dc,Lecce,4.0,8,-4,15,0
Gatti,D,Dc,Juventus,5.0,8,-3,8,0
Ghilardi,D,Dc,Roma,4.0,4,0,8,0
Gigot,D,Dc,Lazio,1.0,4,-3,3,0
Gila,D,Dc,Lazio,8.0,9,-1,22,0
Gilmour,C,M;C,Napoli,6.0,7,-1,14,0
Gimenez,A,Pc,Milan,12.0,25,-13,15,0
Gineitis,C,C,Torino,4.0,5,-1,11,0
Giovane,A,A,Napoli,17.0,1,16,30,0
Goglichidze,D,Dd;Dc,Udinese,2.0,4,-2,7,0
Goldaniga,D,Dc,Como,1.0,4,-3,6,0
Gollini,P,Por,Roma,1.0,1,0,1,0
Gorter,C,M;C,Lecce,2.0,1,1,1,0
Gosens,D,E,Fiorentina,10.0,18,-8,25,0
Grassi,C,M;C,Cremonese,5.0,4,1,8,0
Gronbaek,C,W;T,Genoa,2.0,12,-10,4,0
Guaita *,P,Por,Parma,3.0,5,-2,1,1
Gudmundsson A.,C,T;A,Fiorentina,17.0,24,-7,75,0
Gueye,A,Pc,Udinese,2.0,1,1,1,0
Guilbert *,,,,0.0,0,0,0,1
Gutierrez,D,Ds;E,Napoli,3.0,8,-5,10,0
Harrison,C,W,Fiorentina,10.0,10,0,23,0
Harroui,C,W;T,Verona,2.0,7,-5,11,0
Heggem,D,Ds;Dc,Bologna,9.0,4,5,20,0
Helgason,C,C;T,Lecce,2.0,8,-6,7,0
Helland,D,Dd;Dc,Bologna,4.0,4,0,9,0
Hermoso,D,Dc,Roma,10.0,3,7,16,0
Hernani *,C,,Parma,2.0,0,0,0,1
Hien,D,Dc,Atalanta,7.0,11,-4,22,0
Hojholt,C,M;C,Pisa,2.0,1,1,2,0
Hojlund,A,Pc,Napoli,25.0,24,1,211,0
Holm,D,Dd;E,Bologna,13.0,8,5,21,0
Hysaj,D,Dd;Ds;E,Lazio,1.0,3,-2,4,0
Iannoni,C,C,Sassuolo,5.0,1,4,8,0
Idrissi R.,D,Ds;E,Cagliari,8.0,3,5,10,0
Idzes,D,Dc,Sassuolo,8.0,7,1,12,0
Ilic,C,C,Torino,3.0,7,-4,8,0
Ilkhan,C,C;T,Torino,2.0,1,1,10,0
Immobile,A,Pc,Bologna,5.0,19,-14,16,0
