Team,Ruolo,Giocatore,Squadra,PrezzoAcquisto,PrezzoAttuale
EquipoA,A,Rodriguez Je.,Como,6.0,12.0
Evergreen,P,De Gea,Fiorentina,14.0,11.0
Evergreen,P,Gollini,Roma,1.0,1.0
Evergreen,P,Lezzerini,Fiorentina,1.0,1.0
Evergreen,D,Buongiorno,Napoli,13.0,10.0
Evergreen,D,Dumfries,Inter,20.0,10.0
Evergreen,D,Kossounou,Atalanta,9.0,8.0
Evergreen,D,Ostigard,Genoa,5.0,15.0
Evergreen,D,Paz Y.,Sassuolo,1.0,1.0
Evergreen,D,Pezzella Giu.,Cremonese,5.0,4.0
Evergreen,D,Posch,Como,7.0,9.0
Evergreen,C,Gudmundsson A.,Fiorentina,17.0,17.0
Evergreen,C,Harroui,Verona,7.0,2.0
Evergreen,C,Iannoni,Sassuolo,1.0,5.0
Evergreen,C,Ilkhan,Torino,1.0,2.0
Evergreen,C,Paz N.,Como,21.0,30.0
Evergreen,C,Politano,Napoli,15.0,11.0
Evergreen,C,Sucic P.,Inter,14.0,11.0
Evergreen,C,Zalewski,Atalanta,6.0,15.0
Evergreen,A,Castro S.,Bologna,22.0,24.0
Evergreen,A,Ekhator,Genoa,1.0,10.0
Evergreen,A,Pavoletti,Cagliari,1.0,1.0
Evergreen,A,Thuram,Inter,31.0,29.0
Evergreen,A,Vardy,Cremonese,19.0,20.0
F.C Pennic Hellas,P,Caprile,Cagliari,7.0,12.0
F.C Pennic Hellas,P,Mandas,Lazio,3.0,1.0
F.C Pennic Hellas,P,Milinkovic-Savic V.,Napoli,4.0,19.0
F.C Pennic Hellas,D,Dimarco,Inter,27.0,29.0
F.C Pennic Hellas,D,Dodò,Fiorentina,11.0,6.0
F.C Pennic Hellas,D,Muharemovic,Sassuolo,4.0,7.0
F.C Pennic Hellas,D,Ndaba,Lecce,1.0,3.0
F.C Pennic Hellas,D,Norton-Cuffy,Genoa,3.0,7.0
F.C Pennic Hellas,D,Tiago Gabriel,Lecce,1.0,9.0
F.C Pennic Hellas,D,Valle,Como,6.0,8.0
F.C Pennic Hellas,C,Adopo,Cagliari,5.0,6.0
F.C Pennic Hellas,C,Atta,Udinese,8.0,16.0
F.C Pennic Hellas,C,Basic,Lazio,1.0,14.0
F.C Pennic Hellas,C,Lipani,Sassuolo,4.0,3.0
F.C Pennic Hellas,C,Ndour,Fiorentina,2.0,6.0
F.C Pennic Hellas,C,Pulisic,Milan,28.0,31.0
F.C Pennic Hellas,C,Vlasic,Torino,14.0,18.0
F.C Pennic Hellas,C,Zaccagni,Lazio,26.0,14.0
F.C Pennic Hellas,A,Dallinga,Bologna,10.0,8.0
F.C Pennic Hellas,A,Esposito F.P.,Inter,7.0,18.0
F.C Pennic Hellas,A,Giovane,Verona,1.0,17.0
F.C Pennic Hellas,A,Hojlund,Napoli,21.0,25.0
F.C Pennic Hellas,A,Martinez L.,Inter,34.0,34.0
FC Buttarighe,P,De Gea,Fiorentina,14.0,11.0
FC Buttarighe,P,Lezzerini,Fiorentina,1.0,1.0
FC Buttarighe,P,Terracciano,Milan,1.0,1.0
FC Buttarighe,D,Coppola F.,Pisa,1.0,2.0
FC Buttarighe,D,Delprato,Parma,8.0,9.0
FC Buttarighe,D,Dodò,Fiorentina,11.0,6.0
FC Buttarighe,D,Dumfries,Inter,20.0,10.0
FC Buttarighe,D,Mina,Cagliari,7.0,8.0
FC Buttarighe,D,Norton-Cuffy,Genoa,3.0,7.0
FC Buttarighe,D,Van Der Brempt,Como,4.0,3.0
FC Buttarighe,C,El Shaarawy,Roma,8.0,8.0
FC Buttarighe,C,Hojholt,Pisa,1.0,2.0
FC Buttarighe,C,Leris,Pisa,2.0,12.0
FC Buttarighe,C,McTominay,Napoli,26.0,25.0
FC Buttarighe,C,Modric,Milan,12.0,19.0
FC Buttarighe,C,Paz N.,Como,21.0,30.0
FC Buttarighe,C,Pulisic,Milan,28.0,31.0
FC Buttarighe,C,Zalewski,Atalanta,6.0,15.0
FC Buttarighe,A,Bonazzoli,Cremonese,1.0,20.0
FC Buttarighe,A,Esposito F.P.,Inter,7.0,18.0
FC Buttarighe,A,Ferguson E.,Roma,13.0,16.0
FC Buttarighe,A,Rodriguez Je.,Como,6.0,12.0
FC Buttarighe,A,Thuram,Inter,31.0,29.0
FC Galli,P,Gollini,Roma,1.0,1.0
FC Galli,P,Scuffet,Pisa,3.0,4.0
FC Galli,P,Svilar,Roma,15.0,19.0
FC Galli,D,De Winter,Milan,8.0,4.0
FC Galli,D,Doig,Sassuolo,6.0,6.0
FC Galli,D,Dumfries,Inter,20.0,10.0
FC Galli,D,Kalulu,Juventus,9.0,12.0
FC Galli,D,Kristensen T.,Udinese,7.0,7.0
